Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
8.0,0,55.0,0.0,6.87,1,1,v Sri Lanka,Colombo (RPS),2018-10-23,ODI # 4058,48.0,Mark Wood
7.0,0,49.0,0.0,7.0,2,1,v West Indies,Bridgetown,2019-02-20,ODI # 4096,42.0,Mark Wood
10.0,0,38.0,1.0,3.8,1,1,v West Indies,Bridgetown,2019-02-22,ODI # 4097,60.0,Mark Wood
10.0,0,60.0,4.0,6.0,2,2,v West Indies,St George's,2019-02-27,ODI # 4099,60.0,Mark Wood
6.0,0,55.0,2.0,9.16,2,2,v West Indies,Gros Islet,2019-03-02,ODI # 4103,36.0,Mark Wood
10.0,0,71.0,2.0,7.1,2,1,v Pakistan,Nottingham,2019-05-17,ODI # 4138,60.0,Mark Wood
10.0,0,53.0,2.0,5.3,4,1,v Pakistan,Nottingham,2019-06-03,ODI # 4148,60.0,Mark Wood
8.0,0,52.0,2.0,6.5,4,2,v Bangladesh,Cardiff,2019-06-08,ODI # 4153,48.0,Mark Wood
6.4,0,18.0,3.0,2.7,4,1,v West Indies,Southampton,2019-06-14,ODI # 4158,40.0,Mark Wood
10.0,1,40.0,2.0,4.0,4,2,v Afghanistan,Manchester,2019-06-18,ODI # 4163,60.0,Mark Wood
8.0,0,40.0,3.0,5.0,3,1,v Sri Lanka,Leeds,2019-06-21,ODI # 4168,48.0,Mark Wood
9.0,0,59.0,1.0,6.55,3,1,v Australia,Lord's,2019-06-25,ODI # 4173,54.0,Mark Wood
10.0,0,73.0,0.0,7.3,4,2,v India,Birmingham,2019-06-30,ODI # 4179,60.0,Mark Wood
9.0,0,34.0,3.0,3.77,4,2,v New Zealand,Chester-le-Street,2019-07-03,ODI # 4183,54.0,Mark Wood
9.0,0,45.0,1.0,5.0,4,1,v Australia,Birmingham,2019-07-11,ODI # 4191,54.0,Mark Wood
10.0,1,49.0,1.0,4.9,4,1,v New Zealand,Lord's,2019-07-14,ODI # 4192,60.0,Mark Wood
10.0,0,54.0,3.0,5.4,3,1,v Australia,Manchester,2020-09-11,ODI # 4259,60.0,Mark Wood
9.0,1,40.0,0.0,4.44,3,2,v Australia,Manchester,2020-09-16,ODI # 4261,54.0,Mark Wood
10.0,1,75.0,2.0,7.5,1,1,v India,Pune,2021-03-23,ODI # 4281,60.0,Mark Wood
7.0,1,34.0,3.0,4.85,3,1,v India,Pune,2021-03-28,ODI # 4284,42.0,Mark Wood
7.0,0,19.0,0.0,2.71,3,1,v Sri Lanka,Chester-le-Street,2021-06-29,ODI # 4296,42.0,Mark Wood
10.0,1,35.0,0.0,3.5,4,1,v Sri Lanka,The Oval,2021-07-01,ODI # 4297,60.0,Mark Wood
8.0,0,34.0,2.0,4.25,3,1,v Bangladesh,Mirpur,2023-03-01,ODI # 4525,48.0,Mark Wood
4.0,0,14.0,0.0,3.5,3,2,v Bangladesh,Mirpur,2023-03-03,ODI # 4528,24.0,Mark Wood
