Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
10.0,0,50.0,1.0,5.0,5,1,v Pakistan,Karachi,2023-01-13,ODI # 4504,60.0,Ish Sodhi
8.0,0,40.0,0.0,5.0,5,1,v Sri Lanka,Hamilton,2023-03-31,ODI # 4557,48.0,Ish Sodhi
10.0,0,51.0,1.0,5.1,4,2,v Pakistan,Rawalpindi,2023-04-27,ODI # 4569,60.0,Ish Sodhi
10.0,0,79.0,1.0,7.9,4,2,v Pakistan,Rawalpindi,2023-04-29,ODI # 4571,60.0,Ish Sodhi
10.0,0,56.0,0.0,5.6,5,1,v Pakistan,Karachi,2023-05-03,ODI # 4573,60.0,Ish Sodhi
10.0,1,53.0,1.0,5.3,4,1,v Pakistan,Karachi,2023-05-05,ODI # 4574,60.0,Ish Sodhi
10.0,0,60.0,1.0,6.0,4,2,v Pakistan,Karachi,2023-05-07,ODI # 4575,60.0,Ish Sodhi
10.0,1,68.0,1.0,6.8,2,1,v England,Chester-le-Street,2008-06-15,ODI # 2708,60.0,Tim Southee
5.0,0,35.0,2.0,7.0,2,1,v England,Birmingham,2008-06-18,ODI # 2709,30.0,Tim Southee
10.0,2,38.0,4.0,3.8,3,2,v England,Bristol,2008-06-21,ODI # 2710,60.0,Tim Southee
10.0,1,47.0,3.0,4.7,3,1,v England,The Oval,2008-06-25,ODI # 2714,60.0,Tim Southee
9.0,0,49.0,3.0,5.44,4,2,v England,Lord's,2008-06-28,ODI # 2720,54.0,Tim Southee
6.0,0,22.0,3.0,3.66,1,2,v Ireland,Aberdeen,2008-07-01,ODI # 2727,36.0,Tim Southee
4.0,0,12.0,0.0,3.0,2,1,v Scotland,Aberdeen,2008-07-03,ODI # 2731,24.0,Tim Southee
9.0,0,41.0,0.0,4.55,3,2,v Bangladesh,Mirpur,2008-10-09,ODI # 2763,54.0,Tim Southee
9.0,0,33.0,1.0,3.66,2,2,v Bangladesh,Mirpur,2008-10-11,ODI # 2764,54.0,Tim Southee
10.0,0,40.0,1.0,4.0,2,2,v Bangladesh,Chattogram,2008-10-14,ODI # 2765,60.0,Tim Southee
7.4,0,33.0,2.0,4.3,3,1,v West Indies,Queenstown,2008-12-31,ODI # 2786,46.0,Tim Southee
5.5,1,38.0,1.0,6.51,2,2,v West Indies,Christchurch,2009-01-03,ODI # 2787,35.0,Tim Southee
10.0,2,36.0,2.0,3.6,2,1,v West Indies,Wellington,2009-01-07,ODI # 2788,60.0,Tim Southee
0.3,0,10.0,0.0,20.0,3,2,v West Indies,Auckland,2009-01-10,ODI # 2789,3.0,Tim Southee
