Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
10.0,1,48.0,1.0,4.8,1,2,v West Indies,Chennai,2019-12-15,ODI # 4221,60.0,Deepak Chahar
7.0,1,44.0,0.0,6.28,1,2,v West Indies,Visakhapatnam,2019-12-18,ODI # 4222,42.0,Deepak Chahar
7.0,1,37.0,2.0,5.28,2,1,v Sri Lanka,Colombo (RPS),2021-07-18,ODI # 4307,42.0,Deepak Chahar
8.0,0,53.0,2.0,6.62,2,1,v Sri Lanka,Colombo (RPS),2021-07-20,ODI # 4309,48.0,Deepak Chahar
8.0,0,53.0,2.0,6.62,1,1,v South Africa,Cape Town,2022-01-23,ODI # 4349,48.0,Deepak Chahar
8.0,1,41.0,2.0,5.12,1,2,v West Indies,Ahmedabad,2022-02-11,ODI # 4356,48.0,Deepak Chahar
7.0,0,27.0,3.0,3.85,1,1,v Zimbabwe,Harare,2022-08-18,ODI # 4451,42.0,Deepak Chahar
10.0,0,75.0,2.0,7.5,1,2,v Zimbabwe,Harare,2022-08-22,ODI # 4457,60.0,Deepak Chahar
5.0,0,30.0,0.0,6.0,1,2,v New Zealand,Christchurch,2022-11-30,ODI # 4489,30.0,Deepak Chahar
8.0,1,32.0,1.0,4.0,1,2,v Bangladesh,Mirpur,2022-12-04,ODI # 4493,48.0,Deepak Chahar
3.0,0,12.0,0.0,4.0,1,1,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,18.0,Deepak Chahar
10.0,0,58.0,2.0,5.8,3,1,v West Indies,Cuttack,2019-12-22,ODI # 4223,60.0,Navdeep Saini
10.0,0,62.0,2.0,6.2,3,2,v Australia,Rajkot,2020-01-17,ODI # 4232,60.0,Navdeep Saini
10.0,0,65.0,1.0,6.5,3,1,v Australia,Bengaluru,2020-01-19,ODI # 4233,60.0,Navdeep Saini
10.0,0,48.0,0.0,4.8,3,1,v New Zealand,Auckland,2020-02-08,ODI # 4239,60.0,Navdeep Saini
8.0,0,68.0,0.0,8.5,2,2,v New Zealand,Mount Maunganui,2020-02-11,ODI # 4243,48.0,Navdeep Saini
10.0,0,83.0,1.0,8.3,3,1,v Australia,Sydney,2020-11-27,ODI # 4265,60.0,Navdeep Saini
7.0,0,70.0,0.0,10.0,3,1,v Australia,Sydney,2020-11-29,ODI # 4266,42.0,Navdeep Saini
5.0,0,27.0,0.0,5.4,1,2,v Sri Lanka,Colombo (RPS),2021-07-23,ODI # 4312,30.0,Navdeep Saini
10.0,0,65.0,1.0,6.5,4,2,v Sri Lanka,Mohali,2017-12-13,ODI # 3941,60.0,Washington Sundar
9.0,1,30.0,3.0,3.33,3,1,v West Indies,Ahmedabad,2022-02-06,ODI # 4353,54.0,Washington Sundar
5.0,0,28.0,1.0,5.6,5,2,v West Indies,Ahmedabad,2022-02-09,ODI # 4355,30.0,Washington Sundar
4.0,0,17.0,0.0,4.25,5,2,v West Indies,Ahmedabad,2022-02-11,ODI # 4356,24.0,Washington Sundar
9.0,0,60.0,1.0,6.66,2,1,v South Africa,Ranchi,2022-10-09,ODI # 4471,54.0,Washington Sundar
4.0,0,15.0,2.0,3.75,1,1,v South Africa,Delhi,2022-10-11,ODI # 4472,24.0,Washington Sundar
10.0,0,42.0,0.0,4.2,3,2,v New Zealand,Auckland,2022-11-25,ODI # 4483,60.0,Washington Sundar
3.0,0,16.0,0.0,5.33,4,2,v New Zealand,Christchurch,2022-11-30,ODI # 4489,18.0,Washington Sundar
5.0,0,17.0,2.0,3.4,5,2,v Bangladesh,Mirpur,2022-12-04,ODI # 4493,30.0,Washington Sundar
10.0,0,37.0,3.0,3.7,5,1,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,60.0,Washington Sundar
1.0,0,2.0,1.0,2.0,6,2,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,6.0,Washington Sundar
7.0,0,50.0,0.0,7.14,6,2,v New Zealand,Hyderabad,2023-01-18,ODI # 4507,42.0,Washington Sundar
3.0,1,7.0,2.0,2.33,6,1,v New Zealand,Raipur,2023-01-21,ODI # 4509,18.0,Washington Sundar
6.0,0,49.0,0.0,8.16,2,2,v New Zealand,Indore,2023-01-24,ODI # 4511,36.0,Washington Sundar
