Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
6.0,1,28.0,3.0,4.66,3,1,v West Indies,Mirpur,2021-01-20,ODI # 4270,36.0,Hasan Mahmud
9.0,0,54.0,1.0,6.0,3,1,v West Indies,Mirpur,2021-01-22,ODI # 4272,54.0,Hasan Mahmud
4.2,0,49.0,1.0,11.3,2,2,v New Zealand,Dunedin,2021-03-20,ODI # 4279,26.0,Hasan Mahmud
9.0,1,47.0,2.0,5.22,1,2,v Zimbabwe,Harare,2022-08-07,ODI # 4442,54.0,Hasan Mahmud
8.0,0,38.0,1.0,4.75,1,2,v Zimbabwe,Harare,2022-08-10,ODI # 4443,48.0,Hasan Mahmud
7.0,1,40.0,0.0,5.71,2,1,v India,Mirpur,2022-12-04,ODI # 4493,42.0,Hasan Mahmud
8.1,1,32.0,5.0,3.91,1,1,v Ireland,Sylhet,2023-03-23,ODI # 4547,48.0,Hasan Mahmud
5.0,0,21.0,1.0,4.2,1,2,v Ireland,Chelmsford,2023-05-09,ODI # 4576,30.0,Hasan Mahmud
9.0,0,48.0,2.0,5.33,1,1,v Ireland,Chelmsford,2023-05-12,ODI # 4577,54.0,Hasan Mahmud
9.0,0,44.0,2.0,4.88,1,2,v Ireland,Chelmsford,2023-05-14,ODI # 4578,54.0,Hasan Mahmud
7.0,0,36.0,0.0,5.14,1,2,v Afghanistan,Chattogram,2023-07-05,ODI # 4615,42.0,Hasan Mahmud
10.0,0,70.0,2.0,7.0,2,1,v Afghanistan,Chattogram,2023-07-08,ODI # 4619,60.0,Hasan Mahmud
