Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
4.0,0,16.0,1.0,4.0,3,1,v Afghanistan,Hambantota,2023-06-07,ODI # 4583,24.0,Maheesh Theekshana
10.0,0,43.0,1.0,4.3,3,2,v U.A.E.,Bulawayo,2023-06-19,ODI # 4587,60.0,Maheesh Theekshana
4.0,0,23.0,0.0,5.75,3,1,v Oman,Bulawayo,2023-06-23,ODI # 4595,24.0,Maheesh Theekshana
6.0,0,29.0,2.0,4.83,5,2,v Ireland,Bulawayo,2023-06-25,ODI # 4599,36.0,Maheesh Theekshana
10.0,0,41.0,3.0,4.1,3,2,v Scotland,Bulawayo,2023-06-27,ODI # 4603,60.0,Maheesh Theekshana
9.0,2,31.0,3.0,3.44,3,2,v Netherlands,Bulawayo,2023-06-30,ODI # 4606,54.0,Maheesh Theekshana
8.2,1,25.0,4.0,3.0,3,1,v Zimbabwe,Bulawayo,2023-07-02,ODI # 4609,49.0,Maheesh Theekshana
10.0,0,34.0,4.0,3.4,3,1,v West Indies,Harare,2023-07-07,ODI # 4618,60.0,Maheesh Theekshana
6.3,1,31.0,4.0,4.76,2,2,v Netherlands,Harare,2023-07-09,ODI # 4620,38.0,Maheesh Theekshana
8.5,0,66.0,1.0,7.47,3,2,v Afghanistan,Hambantota,2023-06-02,ODI # 4579,53.0,Matheesha Pathirana
3.0,0,18.0,2.0,6.0,4,1,v Zimbabwe,Bulawayo,2023-07-02,ODI # 4609,18.0,Matheesha Pathirana
10.0,1,61.0,1.0,6.1,4,1,v West Indies,Harare,2023-07-07,ODI # 4618,60.0,Matheesha Pathirana
3.0,0,16.0,0.0,5.33,4,2,v Netherlands,Harare,2023-07-09,ODI # 4620,18.0,Matheesha Pathirana
9.0,0,50.0,0.0,5.55,5,2,v Afghanistan,Hambantota,2023-06-02,ODI # 4579,54.0,Dushan Hemantha
10.0,0,49.0,2.0,4.9,5,1,v West Indies,Harare,2023-07-07,ODI # 4618,60.0,Dushan Hemantha
