Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
6.0,1,23.0,2.0,3.83,2,2,v Zimbabwe,Harare,2014-08-25,ODI # 3513,36.0,Mitchell Starc
8.0,0,62.0,2.0,7.75,2,2,v South Africa,Harare,2014-08-27,ODI # 3516,48.0,Mitchell Starc
10.0,3,41.0,2.0,4.1,1,2,v Zimbabwe,Harare,2014-08-31,ODI # 3521,60.0,Mitchell Starc
8.0,1,47.0,0.0,5.87,4,2,v South Africa,Harare,2014-09-02,ODI # 3522,48.0,Mitchell Starc
4.0,0,27.0,0.0,6.75,4,2,v South Africa,Harare,2014-09-06,ODI # 3526,24.0,Mitchell Starc
10.0,1,33.0,1.0,3.3,1,2,v Pakistan,Abu Dhabi,2014-10-12,ODI # 3534,60.0,Mitchell Starc
8.0,1,32.0,4.0,4.0,1,2,v South Africa,Canberra,2014-11-19,ODI # 3548,48.0,Mitchell Starc
10.0,0,40.0,1.0,4.0,1,1,v South Africa,Melbourne,2014-11-21,ODI # 3549,60.0,Mitchell Starc
10.0,1,60.0,0.0,6.0,2,1,v South Africa,Sydney,2014-11-23,ODI # 3551,60.0,Mitchell Starc
8.5,0,42.0,4.0,4.75,1,1,v England,Sydney,2015-01-16,ODI # 3578,53.0,Mitchell Starc
10.0,2,43.0,6.0,4.3,1,1,v India,Melbourne,2015-01-18,ODI # 3582,60.0,Mitchell Starc
10.0,0,60.0,1.0,6.0,1,1,v England,Hobart,2015-01-23,ODI # 3589,60.0,Mitchell Starc
4.0,0,11.0,1.0,2.75,1,1,v India,Sydney,2015-01-26,ODI # 3592,24.0,Mitchell Starc
7.0,0,40.0,0.0,5.71,1,2,v England,Perth,2015-02-01,ODI # 3597,42.0,Mitchell Starc
9.0,1,47.0,2.0,5.22,1,2,v England,Melbourne,2015-02-14,ODI # 3600,54.0,Mitchell Starc
9.0,0,28.0,6.0,3.11,2,2,v New Zealand,Auckland,2015-02-28,ODI # 3617,54.0,Mitchell Starc
6.0,0,18.0,2.0,3.0,1,2,v Afghanistan,Perth,2015-03-04,ODI # 3623,36.0,Mitchell Starc
8.2,0,29.0,2.0,3.48,1,2,v Sri Lanka,Sydney,2015-03-08,ODI # 3629,49.0,Mitchell Starc
4.4,1,14.0,4.0,3.0,1,1,v Scotland,Hobart,2015-03-14,ODI # 3637,28.0,Mitchell Starc
10.0,1,40.0,2.0,4.0,1,1,v Pakistan,Adelaide,2015-03-20,ODI # 3642,60.0,Mitchell Starc
8.5,0,28.0,2.0,3.16,1,2,v India,Sydney,2015-03-26,ODI # 3645,53.0,Mitchell Starc
8.0,0,20.0,2.0,2.5,1,1,v New Zealand,Melbourne,2015-03-29,ODI # 3646,48.0,Mitchell Starc
5.0,0,34.0,2.0,6.8,1,2,v Ireland,Belfast,2015-08-27,ODI # 3679,30.0,Mitchell Starc
10.0,0,55.0,2.0,5.5,1,2,v England,Southampton,2015-09-03,ODI # 3680,60.0,Mitchell Starc
7.0,0,35.0,1.0,5.0,1,2,v England,Lord's,2015-09-05,ODI # 3681,42.0,Mitchell Starc
10.0,0,79.0,1.0,7.9,1,1,v England,Manchester,2015-09-08,ODI # 3682,60.0,Mitchell Starc
9.0,1,44.0,1.0,4.88,1,1,v England,Manchester,2015-09-13,ODI # 3684,54.0,Mitchell Starc
9.0,0,37.0,2.0,4.11,1,1,v West Indies,Providence,2016-06-05,ODI # 3740,54.0,Mitchell Starc
10.0,0,43.0,3.0,4.3,1,2,v South Africa,Basseterre,2016-06-11,ODI # 3743,60.0,Mitchell Starc
1.0,0,8.0,0.0,8.0,1,1,v South Africa,Bridgetown,2016-06-19,ODI # 3750,6.0,Mitchell Starc
10.0,1,51.0,3.0,5.1,1,1,v West Indies,Bridgetown,2016-06-21,ODI # 3752,60.0,Mitchell Starc
8.0,0,32.0,0.0,4.0,1,2,v West Indies,Bridgetown,2016-06-26,ODI # 3756,48.0,Mitchell Starc
10.0,1,32.0,3.0,3.2,1,1,v Sri Lanka,Colombo (RPS),2016-08-21,ODI # 3768,60.0,Mitchell Starc
9.5,0,53.0,3.0,5.38,1,1,v Sri Lanka,Colombo (RPS),2016-08-24,ODI # 3769,59.0,Mitchell Starc
10.0,0,42.0,2.0,4.2,1,1,v Sri Lanka,Dambulla,2016-08-28,ODI # 3772,60.0,Mitchell Starc
10.0,1,51.0,1.0,5.1,1,1,v Sri Lanka,Dambulla,2016-08-31,ODI # 3774,60.0,Mitchell Starc
9.0,0,40.0,3.0,4.44,1,1,v Sri Lanka,Pallekele,2016-09-04,ODI # 3776,54.0,Mitchell Starc
7.0,1,37.0,1.0,5.28,1,2,v New Zealand,Sydney,2016-12-04,ODI # 3811,42.0,Mitchell Starc
10.0,0,52.0,2.0,5.2,1,2,v New Zealand,Canberra,2016-12-06,ODI # 3812,60.0,Mitchell Starc
10.0,3,34.0,3.0,3.4,1,2,v New Zealand,Melbourne,2016-12-09,ODI # 3813,60.0,Mitchell Starc
8.0,0,34.0,2.0,4.25,1,2,v Pakistan,Brisbane,2017-01-13,ODI # 3817,48.0,Mitchell Starc
10.0,1,45.0,2.0,4.5,1,2,v Pakistan,Melbourne,2017-01-15,ODI # 3818,60.0,Mitchell Starc
