Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
5.0,0,24.0,0.0,4.8,2,2,v Bangladesh,Centurion,2022-03-23,ODI # 4375,30.0,Lungi Ngidi
9.0,0,49.0,1.0,5.44,2,2,v England,Chester-le-Street,2022-07-19,ODI # 4434,54.0,Lungi Ngidi
5.0,0,39.0,0.0,7.8,2,1,v England,Manchester,2022-07-22,ODI # 4435,30.0,Lungi Ngidi
8.0,0,52.0,3.0,6.5,4,2,v India,Lucknow,2022-10-06,ODI # 4470,48.0,Lungi Ngidi
5.0,0,21.0,1.0,4.2,2,2,v India,Delhi,2022-10-11,ODI # 4472,30.0,Lungi Ngidi
9.0,0,66.0,1.0,7.33,2,1,v England,Bloemfontein,2023-01-29,ODI # 4513,54.0,Lungi Ngidi
10.0,0,62.0,4.0,6.2,2,1,v England,Kimberley,2023-02-01,ODI # 4514,60.0,Lungi Ngidi
10.0,0,76.0,0.0,7.6,1,1,v West Indies,East London,2023-03-18,ODI # 4540,60.0,Lungi Ngidi
6.0,0,45.0,1.0,7.5,1,1,v West Indies,Potchefstroom,2023-03-21,ODI # 4544,36.0,Lungi Ngidi
8.0,0,33.0,1.0,4.12,1,2,v Netherlands,Johannesburg,2023-04-02,ODI # 4563,48.0,Lungi Ngidi
7.0,1,33.0,1.0,4.71,3,1,v Sri Lanka,Johannesburg,2019-03-03,ODI # 4104,42.0,Anrich Nortje
7.0,0,25.0,2.0,3.57,3,2,v Sri Lanka,Centurion,2019-03-06,ODI # 4107,42.0,Anrich Nortje
8.0,0,57.0,3.0,7.12,3,1,v Sri Lanka,Gqeberha,2019-03-13,ODI # 4114,48.0,Anrich Nortje
9.3,0,35.0,2.0,3.68,4,1,v Sri Lanka,Cape Town,2019-03-16,ODI # 4115,57.0,Anrich Nortje
7.1,0,39.0,2.0,5.44,2,2,v Australia,Paarl,2020-02-29,ODI # 4248,42.0,Anrich Nortje
10.0,0,59.0,2.0,5.9,2,1,v Australia,Bloemfontein,2020-03-04,ODI # 4252,60.0,Anrich Nortje
7.0,0,35.0,2.0,5.0,1,1,v Australia,Potchefstroom,2020-03-07,ODI # 4254,42.0,Anrich Nortje
10.0,0,51.0,4.0,5.1,3,2,v Pakistan,Centurion,2021-04-02,ODI # 4285,60.0,Anrich Nortje
10.0,1,63.0,3.0,6.3,4,2,v Pakistan,Johannesburg,2021-04-04,ODI # 4286,60.0,Anrich Nortje
10.0,0,64.0,0.0,6.4,2,1,v Ireland,Dublin (Malahide),2021-07-13,ODI # 4302,60.0,Anrich Nortje
7.1,0,37.0,1.0,5.16,2,2,v Ireland,Dublin (Malahide),2021-07-16,ODI # 4305,42.0,Anrich Nortje
10.0,0,69.0,0.0,6.9,2,1,v Sri Lanka,Colombo (RPS),2021-09-02,ODI # 4314,60.0,Anrich Nortje
8.5,0,53.0,4.0,6.0,3,2,v England,Chester-le-Street,2022-07-19,ODI # 4434,53.0,Anrich Nortje
5.1,0,53.0,2.0,10.25,3,1,v England,Manchester,2022-07-22,ODI # 4435,30.0,Anrich Nortje
